2 4
0 32
2.456  0.899 1.000
2.218  1.129 1.000
1.877  1.296 1.000
1.5  1.5 1.000
1.084  1.565 1.000
0.648  1.613 1.000
0.164  1.637 1.000
-0.518  1.668 1.000
-0.954  1.589 1.000
-1.176  1.454 1.000
-1.263  1.28 1.000
-1.43  0.883 1.000
-1.684  0.582 1.000
-1.787  0.384 1.000
-1.787  0.169  1.000
-1.763  -0.299 1.000
-1.771  -0.632 1.000
-1.438  -0.933 1.000
-1.2  -1.052 1.000
-0.779  -1.211 1.000
-0.47  -1.226 1.000
-0.161  -1.234 1.000
0.109  -1.242 1.000
0.466  -1.226 1.000
0.767  -1.195 1.000
1.132  -1.108 1.000
1.608  -0.965 1.000
1.933  -0.727 1.000
2.21  -0.449 1.000
2.345  -0.148 1.000
2.44  0.193 1.000
2.5  0.5 1.000
1 15
0.545  0.923 2.000
0.347  1.169 2.000
0.18  1.224 2.000
-0.216  1.248 2.000
-0.716  1.224 2.000
-1  1 2.000
-1.16  0.804 2.000
-1.176  0.518 2.000
-0.938  0.368 2.000
-0.565  0.55 2.000
-0.375  0.883 2.000
-0.105  0.836 2.000
0.061  0.645 2.000
0.307  0.471 2.000
0.537  0.637 2.000
1 18
0.934  1.2 2.000
1.156  1.256 2.000
1.449  1.2 2.000
1.735  1.066  2.000
2.115  0.796 2.000
2.203  0.407 2.000
2.139  0.114 2.000
1.957  -0.354 2.000
1.528  -0.695 2.000
0.997  -0.687 2.000
0.608  -0.703 2.000
0.704  -0.378 2.000
1.06  -0.275 2.000
1.275  -0.084 2.000
1.441  0.225 2.000
1.536  0.59 2.000
1.322  0.828 2.000
1  1 2.000
1 17
-1.406  0.09 2.000
-1.176  0.146 2.000
-0.851  0.146 2.000
-0.502  0.32 2.000
-0.153  0.479 2.000
0.117  0.288 2.000
0.489  0.138 2.000
0.561  -0.092 2.000
0.378  -0.291 2.000
0.204  -0.481 2.000
0.101  -0.663 2.000
-0.097  -0.774 2.000
-0.597  -0.798 2.000
-1.002  -0.727 2.000
-1.208  -0.624 2.000
-1.343  -0.433 2.000
-1.469  -0.172 2.000
