2 2
0 65
10.0 503199.935710 -8.530254
10.0 503144.259496 -8.530254
10.0 503105.714424 -10.726504
10.0 503054.320996 -10.726504
10.0 503028.624281 -15.119005
10.0 503015.775924 -15.119005
10.0 502998.644781 -17.315256
10.0 502968.665281 -19.511506
10.0 502925.837424 -26.100258
10.0 502870.161210 -39.277761
10.0 502810.202210 -45.866513
10.0 502775.939924 -59.044016
10.0 502745.960424 -74.417769
10.0 502737.394852 -87.595272
10.0 502711.698138 -116.146529
10.0 502681.718638 -149.090287
10.0 502643.173566 -184.230295
10.0 502643.173566 -212.781552
10.0 502651.739138 -252.314061
10.0 502651.739138 -265.491564
10.0 502651.739138 -294.042821
10.0 502651.739138 -311.612825
10.0 502656.021924 -331.379079
10.0 502656.021924 -351.145334
10.0 502673.153066 -375.304090
10.0 502686.001424 -384.089092
10.0 502707.415352 -399.462845
10.0 502733.112067 -421.425350
10.0 502754.525995 -436.799104
10.0 502784.505495 -460.957860
10.0 502827.333352 -480.724114
10.0 502883.009567 -504.882870
10.0 502942.968567 -522.452874
10.0 502998.644781 -535.630377
10.0 503058.603781 -544.415379
10.0 503088.583282 -559.789133
10.0 503174.238996 -577.359137
10.0 503277.025853 -577.359137
10.0 503341.267639 -577.359137
10.0 503371.247139 -572.966636
10.0 503469.751211 -561.985383
10.0 503516.861854 -533.434127
10.0 503611.083140 -491.705367
10.0 503675.324926 -480.724114
10.0 503713.869997 -460.957860
10.0 503760.980640 -447.780356
10.0 503799.525711 -395.070344
10.0 503812.374069 -353.341584
10.0 503820.939640 -320.397827
10.0 503846.636354 -274.276566
10.0 503846.636354 -245.725309
10.0 503820.939640 -208.389051
10.0 503782.394569 -173.249042
10.0 503748.132283 -142.501535
10.0 503705.304426 -113.950278
10.0 503696.738854 -98.576525
10.0 503641.062640 -76.614020
10.0 503611.083140 -50.259014
10.0 503563.972497 -43.670262
10.0 503533.992997 -34.885260
10.0 503444.054496 -21.707757
10.0 503388.378282 -6.334003
10.0 503341.267639 -6.334003
10.0 503281.308639 -1.941502
10.0 503199.935710 6.843500
1 58
13.1 503208.501282 17.824752
13.1 503139.976710 17.824752
13.1 503058.603781 15.628502
13.1 503015.775924 9.039750
13.1 502934.402995 -1.941502
13.1 502904.423495 -19.511506
13.1 502853.030067 -43.670262
13.1 502823.050567 -63.436517
13.1 502805.919424 -78.810270
13.1 502784.505495 -94.184024
13.1 502763.091567 -107.361527
13.1 502741.677638 -116.146529
13.1 502720.263709 -135.912784
13.1 502703.132566 -166.660291
13.1 502711.698138 -186.426545
13.1 502703.132566 -241.332808
13.1 502694.566995 -256.706562
13.1 502698.849781 -294.042821
13.1 502681.718638 -353.341584
13.1 502681.718638 -373.107839
13.1 502707.415352 -395.070344
13.1 502728.829281 -414.836599
13.1 502758.808781 -432.406603
13.1 502805.919424 -452.172858
13.1 502942.968567 -489.509116
13.1 502960.099710 -493.901617
13.1 503013.158710 -511.471621
13.1 503045.755424 -515.864122
13.1 503131.411139 -520.256623
13.1 503174.238996 -533.434127
13.1 503234.197996 -535.630377
13.1 503298.439782 -540.022878
13.1 503362.681568 -542.219129
13.1 503444.054496 -546.611630
13.1 503533.992997 -535.630377
13.1 503563.972497 -522.452874
13.1 503598.234783 -511.471621
13.1 503623.931497 -502.686619
13.1 503683.890497 -487.312866
13.1 503705.304426 -471.939112
13.1 503722.435568 -456.565359
13.1 503748.132283 -434.602853
13.1 503756.697854 -406.051597
13.1 503769.546211 -386.285342
13.1 503769.546211 -370.911589
13.1 503769.546211 -351.145334
13.1 503769.546211 -329.182829
13.1 503816.656854 -283.061568
13.1 503816.656854 -261.099063
13.1 503825.222426 -232.547806
13.1 503825.222426 -214.977802
13.1 503816.656854 -184.230295
13.1 503803.808497 -175.445293
13.1 503786.677354 -160.071539
13.1 503773.828997 -142.501535
13.1 503743.849497 -120.539030
13.1 503718.152783 -100.772775
13.1 503675.324926 -72.221519
