2 2
0 21
-1.52 3.9 1.0
-2.58 3.68 1.0
-4 3 1.0
-4.52 2.26 1.0
-5.84 1.6 1.0
-5.8 -0.12 1.0
-5.22 -1.54 1.0
-3.98 -2.32 1.0
-1.94 -3.3 1.0
-0.26 -3.52 1.0
1.9 -3.5 1.0
4 -3 1.0
5.92 -1.74 1.0
5 -1 1.0
5.86 0.56 1.0
7.16 1.24 1.0
7 3 1.0
5.6 3.84 1.0
3.48 4.4 1.0
1.58 3.82 1.0
0 4 1.0
1 16
-1.12 2.2 2.0
-1.3 1.48 2.0
-2.48 1.04 2.0
-1.64 0.4 2.0
-2.16 -0.5 2.0
-2.12 -1.56 2.0
-0.82 -1.42 2.0
0.82 -0.92 2.0
1.94 -0.78 2.0
3.3 -0.16 2.0
4 1 2.0
4.5 1.8 2.0
3.82 2.36 2.0
2.26 2.26 2.0
1.5 1.92 2.0
0.28 2.4 2.0
